ano_mes,mes_desc,faixa_etaria,sexo_desc,regiao,total_pessoas,qtd_febre,qtd_tosse,qtd_dor_garganta,qtd_dificuldade_respirar,qtd_perda_cheiro_sabor,qtd_pelo_menos_1_sintoma,pct_febre,pct_tosse,pct_dor_garganta,pct_dificuldade_respirar,pct_perda_cheiro_sabor,pct_pelo_menos_1_sintoma
202009,Setembro/2020,0-17,Feminino,Centro-Oeste,4703,41,59,59,13,12,91,0.87,1.25,1.25,0.28,0.26,1.93
202009,Setembro/2020,0-17,Masculino,Centro-Oeste,5066,38,56,45,13,13,95,0.75,1.11,0.89,0.26,0.26,1.88
202009,Setembro/2020,18-29,Feminino,Centro-Oeste,3382,61,64,64,34,45,115,1.8,1.89,1.89,1.01,1.33,3.4
202009,Setembro/2020,18-29,Masculino,Centro-Oeste,3386,56,51,55,27,28,96,1.65,1.51,1.62,0.8,0.83,2.84
202009,Setembro/2020,30-39,Feminino,Centro-Oeste,3173,39,65,78,37,38,123,1.23,2.05,2.46,1.17,1.2,3.88
202009,Setembro/2020,30-39,Masculino,Centro-Oeste,2883,33,49,38,16,25,78,1.14,1.7,1.32,0.55,0.87,2.71
202009,Setembro/2020,40-49,Feminino,Centro-Oeste,3287,38,59,60,34,38,119,1.16,1.79,1.83,1.03,1.16,3.62
202009,Setembro/2020,40-49,Masculino,Centro-Oeste,2866,41,49,35,26,28,79,1.43,1.71,1.22,0.91,0.98,2.76
202009,Setembro/2020,50-59,Feminino,Centro-Oeste,3027,42,79,59,32,38,117,1.39,2.61,1.95,1.06,1.26,3.87
202009,Setembro/2020,50-59,Masculino,Centro-Oeste,2551,25,57,37,18,20,82,0.98,2.23,1.45,0.71,0.78,3.21
202009,Setembro/2020,60-69,Feminino,Centro-Oeste,2068,23,46,28,20,21,73,1.11,2.22,1.35,0.97,1.02,3.53
202009,Setembro/2020,60-69,Masculino,Centro-Oeste,1800,26,52,26,21,14,70,1.44,2.89,1.44,1.17,0.78,3.89
202009,Setembro/2020,70+,Feminino,Centro-Oeste,1524,7,33,14,18,7,49,0.46,2.17,0.92,1.18,0.46,3.22
202009,Setembro/2020,70+,Masculino,Centro-Oeste,1297,13,26,11,18,7,42,1.0,2.0,0.85,1.39,0.54,3.24
202009,Setembro/2020,0-17,Feminino,Nordeste,15379,132,212,157,23,27,351,0.86,1.38,1.02,0.15,0.18,2.28
202009,Setembro/2020,0-17,Masculino,Nordeste,15751,128,201,118,32,25,324,0.81,1.28,0.75,0.2,0.16,2.06
202009,Setembro/2020,18-29,Feminino,Nordeste,10757,78,131,120,30,38,237,0.73,1.22,1.12,0.28,0.35,2.2
202009,Setembro/2020,18-29,Masculino,Nordeste,10388,87,120,103,23,30,218,0.84,1.16,0.99,0.22,0.29,2.1
202009,Setembro/2020,30-39,Feminino,Nordeste,9568,105,155,159,41,54,303,1.1,1.62,1.66,0.43,0.56,3.17
202009,Setembro/2020,30-39,Masculino,Nordeste,8418,67,99,99,27,35,196,0.8,1.18,1.18,0.32,0.42,2.33
202009,Setembro/2020,40-49,Feminino,Nordeste,8761,78,125,140,45,42,252,0.89,1.43,1.6,0.51,0.48,2.88
202009,Setembro/2020,40-49,Masculino,Nordeste,7538,57,82,71,18,28,148,0.76,1.09,0.94,0.24,0.37,1.96
202009,Setembro/2020,50-59,Feminino,Nordeste,7796,69,107,90,39,47,224,0.89,1.37,1.15,0.5,0.6,2.87
202009,Setembro/2020,50-59,Masculino,Nordeste,6396,53,90,69,23,23,151,0.83,1.41,1.08,0.36,0.36,2.36
202009,Setembro/2020,60-69,Feminino,Nordeste,5337,38,79,46,17,21,133,0.71,1.48,0.86,0.32,0.39,2.49
202009,Setembro/2020,60-69,Masculino,Nordeste,4346,31,70,26,13,9,98,0.71,1.61,0.6,0.3,0.21,2.25
202009,Setembro/2020,70+,Feminino,Nordeste,4737,25,70,36,15,12,107,0.53,1.48,0.76,0.32,0.25,2.26
202009,Setembro/2020,70+,Masculino,Nordeste,3652,31,69,24,22,9,105,0.85,1.89,0.66,0.6,0.25,2.88
202009,Setembro/2020,0-17,Feminino,Norte,6596,74,79,76,22,28,143,1.12,1.2,1.15,0.33,0.42,2.17
202009,Setembro/2020,0-17,Masculino,Norte,6975,85,90,80,11,14,155,1.22,1.29,1.15,0.16,0.2,2.22
202009,Setembro/2020,18-29,Feminino,Norte,4615,60,75,75,29,36,133,1.3,1.63,1.63,0.63,0.78,2.88
202009,Setembro/2020,18-29,Masculino,Norte,4652,60,72,54,16,26,112,1.29,1.55,1.16,0.34,0.56,2.41
202009,Setembro/2020,30-39,Feminino,Norte,3776,57,72,79,41,45,136,1.51,1.91,2.09,1.09,1.19,3.6
202009,Setembro/2020,30-39,Masculino,Norte,3479,47,60,54,24,31,100,1.35,1.72,1.55,0.69,0.89,2.87
202009,Setembro/2020,40-49,Feminino,Norte,3457,50,68,73,34,33,136,1.45,1.97,2.11,0.98,0.95,3.93
202009,Setembro/2020,40-49,Masculino,Norte,3148,34,55,30,26,23,89,1.08,1.75,0.95,0.83,0.73,2.83
202009,Setembro/2020,50-59,Feminino,Norte,2797,45,60,60,23,31,116,1.61,2.15,2.15,0.82,1.11,4.15
202009,Setembro/2020,50-59,Masculino,Norte,2388,35,52,33,17,15,76,1.47,2.18,1.38,0.71,0.63,3.18
202009,Setembro/2020,60-69,Feminino,Norte,1760,20,34,28,15,16,57,1.14,1.93,1.59,0.85,0.91,3.24
202009,Setembro/2020,60-69,Masculino,Norte,1634,20,29,17,10,14,49,1.22,1.77,1.04,0.61,0.86,3.0
202009,Setembro/2020,70+,Feminino,Norte,1288,14,25,9,16,10,45,1.09,1.94,0.7,1.24,0.78,3.49
202009,Setembro/2020,70+,Masculino,Norte,1140,11,21,8,6,6,32,0.96,1.84,0.7,0.53,0.53,2.81
202009,Setembro/2020,0-17,Feminino,Sudeste,11575,63,78,60,13,9,154,0.54,0.67,0.52,0.11,0.08,1.33
202009,Setembro/2020,0-17,Masculino,Sudeste,12120,56,107,58,22,8,172,0.46,0.88,0.48,0.18,0.07,1.42
202009,Setembro/2020,18-29,Feminino,Sudeste,8712,45,94,90,46,39,186,0.52,1.08,1.03,0.53,0.45,2.13
202009,Setembro/2020,18-29,Masculino,Sudeste,8768,53,106,79,28,25,162,0.6,1.21,0.9,0.32,0.29,1.85
202009,Setembro/2020,30-39,Feminino,Sudeste,8610,60,125,107,54,37,222,0.7,1.45,1.24,0.63,0.43,2.58
202009,Setembro/2020,30-39,Masculino,Sudeste,7788,50,88,54,28,30,164,0.64,1.13,0.69,0.36,0.39,2.11
202009,Setembro/2020,40-49,Feminino,Sudeste,8802,57,121,104,58,37,224,0.65,1.37,1.18,0.66,0.42,2.54
202009,Setembro/2020,40-49,Masculino,Sudeste,7746,45,75,57,29,20,133,0.58,0.97,0.74,0.37,0.26,1.72
202009,Setembro/2020,50-59,Feminino,Sudeste,8451,51,128,92,50,32,221,0.6,1.51,1.09,0.59,0.38,2.62
202009,Setembro/2020,50-59,Masculino,Sudeste,7321,30,92,53,29,15,142,0.41,1.26,0.72,0.4,0.2,1.94
202009,Setembro/2020,60-69,Feminino,Sudeste,7132,40,108,62,38,26,171,0.56,1.51,0.87,0.53,0.36,2.4
202009,Setembro/2020,60-69,Masculino,Sudeste,5749,26,93,50,28,14,132,0.45,1.62,0.87,0.49,0.24,2.3
202009,Setembro/2020,70+,Feminino,Sudeste,5973,21,97,30,39,7,149,0.35,1.62,0.5,0.65,0.12,2.49
202009,Setembro/2020,70+,Masculino,Sudeste,4388,15,76,29,33,10,111,0.34,1.73,0.66,0.75,0.23,2.53
202009,Setembro/2020,0-17,Feminino,Sul,6695,35,73,61,16,12,120,0.52,1.09,0.91,0.24,0.18,1.79
202009,Setembro/2020,0-17,Masculino,Sul,7068,35,66,46,12,3,118,0.5,0.93,0.65,0.17,0.04,1.67
202009,Setembro/2020,18-29,Feminino,Sul,4971,34,74,73,26,18,123,0.68,1.49,1.47,0.52,0.36,2.47
202009,Setembro/2020,18-29,Masculino,Sul,5097,37,74,60,18,20,111,0.73,1.45,1.18,0.35,0.39,2.18
202009,Setembro/2020,30-39,Feminino,Sul,4868,35,84,88,31,35,152,0.72,1.73,1.81,0.64,0.72,3.12
202009,Setembro/2020,30-39,Masculino,Sul,4541,35,71,64,23,19,129,0.77,1.56,1.41,0.51,0.42,2.84
202009,Setembro/2020,40-49,Feminino,Sul,5048,37,76,80,30,33,147,0.73,1.51,1.58,0.59,0.65,2.91
202009,Setembro/2020,40-49,Masculino,Sul,4500,28,62,51,23,24,99,0.62,1.38,1.13,0.51,0.53,2.2
202009,Setembro/2020,50-59,Feminino,Sul,5340,34,92,82,34,24,154,0.64,1.72,1.54,0.64,0.45,2.88
202009,Setembro/2020,50-59,Masculino,Sul,4662,26,67,48,21,17,103,0.56,1.44,1.03,0.45,0.36,2.21
202009,Setembro/2020,60-69,Feminino,Sul,4113,19,64,38,38,18,115,0.46,1.56,0.92,0.92,0.44,2.8
202009,Setembro/2020,60-69,Masculino,Sul,3636,17,72,24,21,11,96,0.47,1.98,0.66,0.58,0.3,2.64
202009,Setembro/2020,70+,Feminino,Sul,3484,16,77,36,30,19,111,0.46,2.21,1.03,0.86,0.55,3.19
202009,Setembro/2020,70+,Masculino,Sul,2598,10,53,20,17,8,68,0.38,2.04,0.77,0.65,0.31,2.62
202010,Outubro/2020,0-17,Feminino,Centro-Oeste,4616,33,38,38,8,15,68,0.71,0.82,0.82,0.17,0.32,1.47
202010,Outubro/2020,0-17,Masculino,Centro-Oeste,4947,39,44,39,14,9,82,0.79,0.89,0.79,0.28,0.18,1.66
202010,Outubro/2020,18-29,Feminino,Centro-Oeste,3349,40,59,56,22,29,100,1.19,1.76,1.67,0.66,0.87,2.99
202010,Outubro/2020,18-29,Masculino,Centro-Oeste,3291,28,30,31,7,13,57,0.85,0.91,0.94,0.21,0.4,1.73
202010,Outubro/2020,30-39,Feminino,Centro-Oeste,3100,31,49,49,11,27,85,1.0,1.58,1.58,0.35,0.87,2.74
202010,Outubro/2020,30-39,Masculino,Centro-Oeste,2851,23,33,23,11,13,52,0.81,1.16,0.81,0.39,0.46,1.82
202010,Outubro/2020,40-49,Feminino,Centro-Oeste,3244,33,55,49,28,25,103,1.02,1.7,1.51,0.86,0.77,3.18
202010,Outubro/2020,40-49,Masculino,Centro-Oeste,2819,31,30,24,7,19,54,1.1,1.06,0.85,0.25,0.67,1.92
202010,Outubro/2020,50-59,Feminino,Centro-Oeste,3009,20,39,33,13,16,80,0.66,1.3,1.1,0.43,0.53,2.66
202010,Outubro/2020,50-59,Masculino,Centro-Oeste,2547,18,34,20,7,7,46,0.71,1.33,0.79,0.27,0.27,1.81
202010,Outubro/2020,60-69,Feminino,Centro-Oeste,2062,18,44,27,16,11,66,0.87,2.13,1.31,0.78,0.53,3.2
202010,Outubro/2020,60-69,Masculino,Centro-Oeste,1795,10,23,18,12,9,41,0.56,1.28,1.0,0.67,0.5,2.28
202010,Outubro/2020,70+,Feminino,Centro-Oeste,1535,8,24,16,12,7,37,0.52,1.56,1.04,0.78,0.46,2.41
202010,Outubro/2020,70+,Masculino,Centro-Oeste,1289,15,15,10,12,5,33,1.16,1.16,0.78,0.93,0.39,2.56
202010,Outubro/2020,0-17,Feminino,Nordeste,14894,120,177,158,28,30,310,0.81,1.19,1.06,0.19,0.2,2.08
202010,Outubro/2020,0-17,Masculino,Nordeste,15238,124,153,126,40,21,279,0.81,1.0,0.83,0.26,0.14,1.83
202010,Outubro/2020,18-29,Feminino,Nordeste,10463,81,121,148,32,38,232,0.77,1.16,1.41,0.31,0.36,2.22
202010,Outubro/2020,18-29,Masculino,Nordeste,10074,66,97,114,28,26,192,0.66,0.96,1.13,0.28,0.26,1.91
202010,Outubro/2020,30-39,Feminino,Nordeste,9244,63,110,147,46,34,237,0.68,1.19,1.59,0.5,0.37,2.56
202010,Outubro/2020,30-39,Masculino,Nordeste,8132,51,84,90,12,22,165,0.63,1.03,1.11,0.15,0.27,2.03
202010,Outubro/2020,40-49,Feminino,Nordeste,8565,81,104,125,41,45,225,0.95,1.21,1.46,0.48,0.53,2.63
202010,Outubro/2020,40-49,Masculino,Nordeste,7372,43,86,72,23,20,143,0.58,1.17,0.98,0.31,0.27,1.94
202010,Outubro/2020,50-59,Feminino,Nordeste,7632,63,96,83,28,30,194,0.83,1.26,1.09,0.37,0.39,2.54
202010,Outubro/2020,50-59,Masculino,Nordeste,6279,34,60,35,19,12,98,0.54,0.96,0.56,0.3,0.19,1.56
202010,Outubro/2020,60-69,Feminino,Nordeste,5298,27,53,36,12,12,98,0.51,1.0,0.68,0.23,0.23,1.85
202010,Outubro/2020,60-69,Masculino,Nordeste,4312,27,54,30,15,12,82,0.63,1.25,0.7,0.35,0.28,1.9
202010,Outubro/2020,70+,Feminino,Nordeste,4647,20,56,25,13,9,87,0.43,1.21,0.54,0.28,0.19,1.87
202010,Outubro/2020,70+,Masculino,Nordeste,3594,18,48,14,13,8,71,0.5,1.34,0.39,0.36,0.22,1.98
202010,Outubro/2020,0-17,Feminino,Norte,6528,78,91,77,24,21,144,1.19,1.39,1.18,0.37,0.32,2.21
202010,Outubro/2020,0-17,Masculino,Norte,6795,81,89,78,25,12,147,1.19,1.31,1.15,0.37,0.18,2.16
202010,Outubro/2020,18-29,Feminino,Norte,4570,58,69,74,15,26,115,1.27,1.51,1.62,0.33,0.57,2.52
202010,Outubro/2020,18-29,Masculino,Norte,4593,51,70,67,17,25,113,1.11,1.52,1.46,0.37,0.54,2.46
202010,Outubro/2020,30-39,Feminino,Norte,3731,61,73,81,31,26,118,1.63,1.96,2.17,0.83,0.7,3.16
202010,Outubro/2020,30-39,Masculino,Norte,3466,32,52,54,16,21,82,0.92,1.5,1.56,0.46,0.61,2.37
202010,Outubro/2020,40-49,Feminino,Norte,3461,43,53,58,19,26,100,1.24,1.53,1.68,0.55,0.75,2.89
202010,Outubro/2020,40-49,Masculino,Norte,3100,39,57,56,17,24,94,1.26,1.84,1.81,0.55,0.77,3.03
202010,Outubro/2020,50-59,Feminino,Norte,2762,42,55,56,21,21,87,1.52,1.99,2.03,0.76,0.76,3.15
202010,Outubro/2020,50-59,Masculino,Norte,2394,23,34,27,13,3,61,0.96,1.42,1.13,0.54,0.13,2.55
202010,Outubro/2020,60-69,Feminino,Norte,1746,23,22,29,14,13,54,1.32,1.26,1.66,0.8,0.74,3.09
202010,Outubro/2020,60-69,Masculino,Norte,1613,17,18,22,9,9,36,1.05,1.12,1.36,0.56,0.56,2.23
202010,Outubro/2020,70+,Feminino,Norte,1288,9,23,14,9,5,34,0.7,1.79,1.09,0.7,0.39,2.64
202010,Outubro/2020,70+,Masculino,Norte,1125,9,28,14,8,7,39,0.8,2.49,1.24,0.71,0.62,3.47
202010,Outubro/2020,0-17,Feminino,Sudeste,11371,59,84,60,17,13,152,0.52,0.74,0.53,0.15,0.11,1.34
202010,Outubro/2020,0-17,Masculino,Sudeste,11878,75,121,78,24,14,190,0.63,1.02,0.66,0.2,0.12,1.6
202010,Outubro/2020,18-29,Feminino,Sudeste,8564,53,89,91,41,29,165,0.62,1.04,1.06,0.48,0.34,1.93
202010,Outubro/2020,18-29,Masculino,Sudeste,8600,54,85,72,20,26,158,0.63,0.99,0.84,0.23,0.3,1.84
202010,Outubro/2020,30-39,Feminino,Sudeste,8458,52,96,104,40,39,194,0.61,1.14,1.23,0.47,0.46,2.29
202010,Outubro/2020,30-39,Masculino,Sudeste,7651,49,88,71,28,27,152,0.64,1.15,0.93,0.37,0.35,1.99
202010,Outubro/2020,40-49,Feminino,Sudeste,8707,48,97,83,37,37,187,0.55,1.11,0.95,0.42,0.42,2.15
202010,Outubro/2020,40-49,Masculino,Sudeste,7668,34,60,40,18,12,102,0.44,0.78,0.52,0.23,0.16,1.33
202010,Outubro/2020,50-59,Feminino,Sudeste,8344,51,121,88,49,35,192,0.61,1.45,1.05,0.59,0.42,2.3
202010,Outubro/2020,50-59,Masculino,Sudeste,7244,34,70,40,22,12,111,0.47,0.97,0.55,0.3,0.17,1.53
202010,Outubro/2020,60-69,Feminino,Sudeste,7055,39,93,61,34,33,156,0.55,1.32,0.86,0.48,0.47,2.21
202010,Outubro/2020,60-69,Masculino,Sudeste,5661,33,72,37,26,11,112,0.58,1.27,0.65,0.46,0.19,1.98
202010,Outubro/2020,70+,Feminino,Sudeste,5953,22,98,34,34,16,146,0.37,1.65,0.57,0.57,0.27,2.45
202010,Outubro/2020,70+,Masculino,Sudeste,4373,18,52,18,25,9,81,0.41,1.19,0.41,0.57,0.21,1.85
202010,Outubro/2020,0-17,Feminino,Sul,6510,26,41,34,12,9,78,0.4,0.63,0.52,0.18,0.14,1.2
202010,Outubro/2020,0-17,Masculino,Sul,6955,55,67,65,16,9,116,0.79,0.96,0.93,0.23,0.13,1.67
202010,Outubro/2020,18-29,Feminino,Sul,4832,34,70,68,22,23,118,0.7,1.45,1.41,0.46,0.48,2.44
202010,Outubro/2020,18-29,Masculino,Sul,4951,35,56,54,13,13,97,0.71,1.13,1.09,0.26,0.26,1.96
202010,Outubro/2020,30-39,Feminino,Sul,4742,43,62,64,24,34,110,0.91,1.31,1.35,0.51,0.72,2.32
202010,Outubro/2020,30-39,Masculino,Sul,4423,38,56,48,18,25,92,0.86,1.27,1.09,0.41,0.57,2.08
202010,Outubro/2020,40-49,Feminino,Sul,4987,37,56,64,30,22,103,0.74,1.12,1.28,0.6,0.44,2.07
202010,Outubro/2020,40-49,Masculino,Sul,4464,34,69,48,23,19,101,0.76,1.55,1.08,0.52,0.43,2.26
202010,Outubro/2020,50-59,Feminino,Sul,5319,35,73,54,23,25,117,0.66,1.37,1.02,0.43,0.47,2.2
202010,Outubro/2020,50-59,Masculino,Sul,4634,19,47,32,14,15,69,0.41,1.01,0.69,0.3,0.32,1.49
202010,Outubro/2020,60-69,Feminino,Sul,4086,20,69,50,16,18,109,0.49,1.69,1.22,0.39,0.44,2.67
202010,Outubro/2020,60-69,Masculino,Sul,3605,19,44,33,10,11,72,0.53,1.22,0.92,0.28,0.31,2.0
202010,Outubro/2020,70+,Feminino,Sul,3480,8,54,27,19,8,78,0.23,1.55,0.78,0.55,0.23,2.24
202010,Outubro/2020,70+,Masculino,Sul,2576,13,34,12,18,7,58,0.5,1.32,0.47,0.7,0.27,2.25
202011,Novembro/2020,0-17,Feminino,Centro-Oeste,4658,44,54,44,11,6,84,0.94,1.16,0.94,0.24,0.13,1.8
202011,Novembro/2020,0-17,Masculino,Centro-Oeste,4983,38,57,37,9,8,74,0.76,1.14,0.74,0.18,0.16,1.49
202011,Novembro/2020,18-29,Feminino,Centro-Oeste,3356,41,61,53,12,21,98,1.22,1.82,1.58,0.36,0.63,2.92
202011,Novembro/2020,18-29,Masculino,Centro-Oeste,3322,32,40,32,11,12,68,0.96,1.2,0.96,0.33,0.36,2.05
202011,Novembro/2020,30-39,Feminino,Centro-Oeste,3139,25,54,47,11,15,85,0.8,1.72,1.5,0.35,0.48,2.71
202011,Novembro/2020,30-39,Masculino,Centro-Oeste,2908,24,36,34,11,17,57,0.83,1.24,1.17,0.38,0.58,1.96
202011,Novembro/2020,40-49,Feminino,Centro-Oeste,3328,38,51,54,18,26,85,1.14,1.53,1.62,0.54,0.78,2.55
202011,Novembro/2020,40-49,Masculino,Centro-Oeste,2888,27,41,34,13,13,67,0.93,1.42,1.18,0.45,0.45,2.32
202011,Novembro/2020,50-59,Feminino,Centro-Oeste,3039,23,36,40,14,11,67,0.76,1.18,1.32,0.46,0.36,2.2
202011,Novembro/2020,50-59,Masculino,Centro-Oeste,2596,16,37,29,14,7,60,0.62,1.43,1.12,0.54,0.27,2.31
202011,Novembro/2020,60-69,Feminino,Centro-Oeste,2126,18,34,21,12,6,55,0.85,1.6,0.99,0.56,0.28,2.59
202011,Novembro/2020,60-69,Masculino,Centro-Oeste,1801,9,24,11,10,4,36,0.5,1.33,0.61,0.56,0.22,2.0
202011,Novembro/2020,70+,Feminino,Centro-Oeste,1554,10,23,11,9,2,32,0.64,1.48,0.71,0.58,0.13,2.06
202011,Novembro/2020,70+,Masculino,Centro-Oeste,1308,6,20,11,7,6,32,0.46,1.53,0.84,0.54,0.46,2.45
202011,Novembro/2020,0-17,Feminino,Nordeste,14928,141,158,133,27,22,290,0.94,1.06,0.89,0.18,0.15,1.94
202011,Novembro/2020,0-17,Masculino,Nordeste,15276,131,184,127,28,15,309,0.86,1.2,0.83,0.18,0.1,2.02
202011,Novembro/2020,18-29,Feminino,Nordeste,10473,80,122,140,40,47,234,0.76,1.16,1.34,0.38,0.45,2.23
202011,Novembro/2020,18-29,Masculino,Nordeste,10059,66,105,102,18,24,181,0.66,1.04,1.01,0.18,0.24,1.8
202011,Novembro/2020,30-39,Feminino,Nordeste,9295,93,129,164,56,44,259,1.0,1.39,1.76,0.6,0.47,2.79
202011,Novembro/2020,30-39,Masculino,Nordeste,8159,72,117,97,24,33,205,0.88,1.43,1.19,0.29,0.4,2.51
202011,Novembro/2020,40-49,Feminino,Nordeste,8677,69,123,127,37,43,229,0.8,1.42,1.46,0.43,0.5,2.64
202011,Novembro/2020,40-49,Masculino,Nordeste,7412,51,84,72,19,32,151,0.69,1.13,0.97,0.26,0.43,2.04
202011,Novembro/2020,50-59,Feminino,Nordeste,7671,54,97,92,28,30,177,0.7,1.26,1.2,0.37,0.39,2.31
202011,Novembro/2020,50-59,Masculino,Nordeste,6346,50,85,56,21,16,130,0.79,1.34,0.88,0.33,0.25,2.05
202011,Novembro/2020,60-69,Feminino,Nordeste,5350,30,69,56,11,16,121,0.56,1.29,1.05,0.21,0.3,2.26
202011,Novembro/2020,60-69,Masculino,Nordeste,4316,28,52,22,10,9,76,0.65,1.2,0.51,0.23,0.21,1.76
202011,Novembro/2020,70+,Feminino,Nordeste,4719,14,65,31,12,10,93,0.3,1.38,0.66,0.25,0.21,1.97
202011,Novembro/2020,70+,Masculino,Nordeste,3650,13,57,19,14,9,79,0.36,1.56,0.52,0.38,0.25,2.16
202011,Novembro/2020,0-17,Feminino,Norte,6537,62,67,54,9,7,109,0.95,1.02,0.83,0.14,0.11,1.67
202011,Novembro/2020,0-17,Masculino,Norte,6795,60,66,60,12,14,118,0.88,0.97,0.88,0.18,0.21,1.74
202011,Novembro/2020,18-29,Feminino,Norte,4571,47,58,72,25,23,116,1.03,1.27,1.58,0.55,0.5,2.54
202011,Novembro/2020,18-29,Masculino,Norte,4576,48,61,50,16,23,92,1.05,1.33,1.09,0.35,0.5,2.01
202011,Novembro/2020,30-39,Feminino,Norte,3724,48,53,56,19,20,100,1.29,1.42,1.5,0.51,0.54,2.69
202011,Novembro/2020,30-39,Masculino,Norte,3471,36,43,44,14,17,81,1.04,1.24,1.27,0.4,0.49,2.33
202011,Novembro/2020,40-49,Feminino,Norte,3516,53,50,49,21,26,87,1.51,1.42,1.39,0.6,0.74,2.47
202011,Novembro/2020,40-49,Masculino,Norte,3107,33,39,36,16,13,65,1.06,1.26,1.16,0.51,0.42,2.09
202011,Novembro/2020,50-59,Feminino,Norte,2835,41,59,60,24,20,100,1.45,2.08,2.12,0.85,0.71,3.53
202011,Novembro/2020,50-59,Masculino,Norte,2449,25,33,27,15,14,59,1.02,1.35,1.1,0.61,0.57,2.41
202011,Novembro/2020,60-69,Feminino,Norte,1793,27,28,35,13,10,61,1.51,1.56,1.95,0.73,0.56,3.4
202011,Novembro/2020,60-69,Masculino,Norte,1630,16,27,14,6,8,35,0.98,1.66,0.86,0.37,0.49,2.15
202011,Novembro/2020,70+,Feminino,Norte,1329,8,25,8,3,4,38,0.6,1.88,0.6,0.23,0.3,2.86
202011,Novembro/2020,70+,Masculino,Norte,1162,11,15,6,6,3,26,0.95,1.29,0.52,0.52,0.26,2.24
202011,Novembro/2020,0-17,Feminino,Sudeste,11351,86,132,112,32,22,214,0.76,1.16,0.99,0.28,0.19,1.89
202011,Novembro/2020,0-17,Masculino,Sudeste,11814,61,131,106,28,18,213,0.52,1.11,0.9,0.24,0.15,1.8
202011,Novembro/2020,18-29,Feminino,Sudeste,8523,86,145,140,47,53,259,1.01,1.7,1.64,0.55,0.62,3.04
202011,Novembro/2020,18-29,Masculino,Sudeste,8583,68,129,96,33,32,188,0.79,1.5,1.12,0.38,0.37,2.19
202011,Novembro/2020,30-39,Feminino,Sudeste,8416,81,135,131,51,60,242,0.96,1.6,1.56,0.61,0.71,2.88
202011,Novembro/2020,30-39,Masculino,Sudeste,7603,78,123,97,42,38,202,1.03,1.62,1.28,0.55,0.5,2.66
202011,Novembro/2020,40-49,Feminino,Sudeste,8774,54,118,122,56,38,215,0.62,1.34,1.39,0.64,0.43,2.45
202011,Novembro/2020,40-49,Masculino,Sudeste,7690,50,84,79,23,24,145,0.65,1.09,1.03,0.3,0.31,1.89
202011,Novembro/2020,50-59,Feminino,Sudeste,8343,73,143,119,48,35,239,0.87,1.71,1.43,0.58,0.42,2.86
202011,Novembro/2020,50-59,Masculino,Sudeste,7224,54,87,73,25,18,146,0.75,1.2,1.01,0.35,0.25,2.02
202011,Novembro/2020,60-69,Feminino,Sudeste,7024,43,115,73,28,22,175,0.61,1.64,1.04,0.4,0.31,2.49
202011,Novembro/2020,60-69,Masculino,Sudeste,5715,35,92,43,24,15,139,0.61,1.61,0.75,0.42,0.26,2.43
202011,Novembro/2020,70+,Feminino,Sudeste,5965,24,102,39,32,17,153,0.4,1.71,0.65,0.54,0.28,2.56
202011,Novembro/2020,70+,Masculino,Sudeste,4346,28,60,25,24,10,98,0.64,1.38,0.58,0.55,0.23,2.25
202011,Novembro/2020,0-17,Feminino,Sul,6467,45,60,48,12,10,102,0.7,0.93,0.74,0.19,0.15,1.58
202011,Novembro/2020,0-17,Masculino,Sul,6879,62,64,58,12,8,120,0.9,0.93,0.84,0.17,0.12,1.74
202011,Novembro/2020,18-29,Feminino,Sul,4755,58,89,102,27,34,150,1.22,1.87,2.15,0.57,0.72,3.15
202011,Novembro/2020,18-29,Masculino,Sul,4884,57,84,79,30,50,144,1.17,1.72,1.62,0.61,1.02,2.95
202011,Novembro/2020,30-39,Feminino,Sul,4759,56,83,100,32,44,158,1.18,1.74,2.1,0.67,0.92,3.32
202011,Novembro/2020,30-39,Masculino,Sul,4411,63,67,77,27,33,121,1.43,1.52,1.75,0.61,0.75,2.74
202011,Novembro/2020,40-49,Feminino,Sul,4956,46,91,108,34,41,155,0.93,1.84,2.18,0.69,0.83,3.13
202011,Novembro/2020,40-49,Masculino,Sul,4462,39,64,58,25,28,102,0.87,1.43,1.3,0.56,0.63,2.29
202011,Novembro/2020,50-59,Feminino,Sul,5290,47,99,91,37,34,157,0.89,1.87,1.72,0.7,0.64,2.97
202011,Novembro/2020,50-59,Masculino,Sul,4573,33,72,53,15,19,103,0.72,1.57,1.16,0.33,0.42,2.25
202011,Novembro/2020,60-69,Feminino,Sul,4110,35,75,58,27,29,118,0.85,1.82,1.41,0.66,0.71,2.87
202011,Novembro/2020,60-69,Masculino,Sul,3618,20,63,33,16,11,85,0.55,1.74,0.91,0.44,0.3,2.35
202011,Novembro/2020,70+,Feminino,Sul,3476,14,59,31,23,11,95,0.4,1.7,0.89,0.66,0.32,2.73
202011,Novembro/2020,70+,Masculino,Sul,2595,14,54,27,22,7,74,0.54,2.08,1.04,0.85,0.27,2.85
